"doc_id","title","api"
"1","basic authentication or validation or login","'https://api.github.com/user'"
"2","find or show all repositories of a user","'https://api.github.com/users/'+username+'/repos'"
"3","find all repositories of an organisation","'https://api.github.com/orgs/'+org+'/repos'"
"4","find the languages associated with a repository","'https://api.github.com/repos/'+username+'/'+repo+'/languages'"
"5","find the teams associated with a repository","'https://api.github.com/repos/'+username+'/'+repo+'/teams'"
"6","find all the contributors of a repository","'https://api.github.com/repos/'+username+'/'+repo+'/contributors'"
"7","find the details of all the branches of a repository","'https://api.github.com/repos/'+username+'/'+repo+'/branches'"
"8","find the details of a particular branch of a repository","'https://api.github.com/repos/'+username+'/'+repo+'/branches/'+branch"
"9","list all the commits on repository","'https://api.github.com/repos/'+owner+'/'+repo+'/commits'"
"10","list all the issues for a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/issues'"
"11","list all the issues for a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/issues?creator='+creator"
"12","list all the open issues for a repository ","'https://api.github.com/repos/'+owner+'/'+repo+'/issues?status=open'"
"13","list all the closed issues for a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/issues?status=closed'"
"14","list all the issues for a repository labeled with ","'https://api.github.com/repos/'+owner+'/'+repo+'/issues?labels='+label"
"15","create an issue for a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/issues?title='+title+'&body='+body"
"16","search a repository","'https://api.github.com/search/repositories?q='+query"
"17","search a commits","'https://api.github.com/search/commits?q='+query"
"18","search the code or repository","'https://api.github.com/search/code?q='+query"
"19","search the code or repository in the python language","'https://api.github.com/search/code?q='+query'+in:file+language:+python'"
"20","search the code or repository in the javascript language","'https://api.github.com/search/code?q='+query+'+in:file+language:+js'"
"21","search the code or repository in java language ","'https://api.github.com/search/code?q='+query+'+in:file+language:+java'"
"22","search the code or repository in language","'https://api.github.com/search/code?q='+query+'+in:file+language:'+language"
"23","search the code or function in language in the repository","'https://api.github.com/search/code?q='+query+'+in:file+language:'+language+'+repo:'+repo+'/'+repo"
"24","find or search the oldest unresolved Python bugs on Windows","'https://api.github.com/search/issues?q=windows+label:bug+language:python+state:open&sort=created&order=asc'"
"25","search or find the unsolved issues in language","'https://api.github.com/search/issues?q='+query+'+language:'+language+'+state:open'"
"26","search or find the featured topics related to language","'https://api.github.com/search/topics?q='+query+'+language:'+language+'is:featured'"
"27","list all the projects in the repository","'https://api.github.com/repos/'+owner+'/'+repo+'/projects'"
"28","list all the open projects in the repository","'https://api.github.com/repos/'+owner+'/'+repo+'/projects?state=open'"
"2"list all the closed projects in t9",he repository","'https://api.github.com/repos/'+owner+'/'+repo+'/projects?state=closed'"
"30","list all the projects in the organization","'https://api.github.com/orgs/'+org+'/projects'"
"31","list all the open projects in the organization","'https://api.github.com/orgs/'+org+'/projects?state=open'"
"32","list all the closed projects in the organization","'https://api.github.com/orgs/'+org+'/projects?state=closed'"
"33","list all the user projects","'https://api.github.com/users/'+username+'/projects'"
"34","get the project by the id","'https://api.github.com/projects/'+project_id"
"35","Create a repository project","'https://api.github.com/repos/'+owner+'/'+repo+'/projects?name='+name+'&body='+body"
"36","Create an organization project","'https://api.github.com/orgs/'+org+'/projects'"
"37","Create an organization project","'https://api.github.com/orgs/'+org+'/projects?name='+name+'&body='+body"
"38","Create an user project","'https://api.github.com/user/projects?name='+name+'&body='+body"
"39","update the project with project id","'https://api.github.com/projects/'+project_id"
"40","list the pull request of a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/pulls'"
"41","list the open pull request of a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/pulls?state=open'"
"42","list the closed pull request of a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/pulls?state=closed'"
"43","get a single pull request  of a repository with pull number","'https://api.github.com/repos/'+owner+'/'+repo+'/pulls/'+pull_number"
"44","create a pull request of a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/pulls?state=closed'"
"45","find the list Of collaborators of a repository","'https://api.github.com/repos/'+owner+'/'+repo+'/collaborators'"
"46","Remove user as a collaborator","'https://api.github.com/repos/'+owner+'/'+repo+'/collaborators/'+username"
"47","Check if a user is a collaborator","'https://api.github.com/repos/'+owner+'/'+repo+'/collaborators/'+username"
"48","Perform a merge the pull request","'https://api.github.com/repos/'+owner+'/'+repo+'/merges?base=master&head=cool_feature&commit_message=Shipped'"
"49","Search issues and pull requests","'https://api.github.com/issues?q=windows+label'+bug+'+language:python+state:open&sort=created&order=asc'"
"50","Get a project","'https://api.github.com/projects/'+project_id"
"51","List comments on an issue","'https://api.github.com/repos/:owner/:repo/issues/:issue_number/comments?since=YYYY-MM-DDTHH:MM:SSZ'"
"52","List comments in a repository","'https://api.github.com/repos/:owner/:repo/issues/comments?sort=created&direction=asc&since=YYYY-MM-DDTHH:MM:SSZ'"
"53","create a review request","'https://api.github.com/repos/:owner/:repo/pulls/:pull_number/requested_reviewers?reviewers=login&team_reviewers=slug'"
"54","delete a review request","'https://api.github.com/repos/:owner/:repo/pulls/:pull_number/requested_reviewers?reviewers=login&team_reviewers=slug'"
"55","List assignees","'https://api.github.com/repos/:owner/:repo/assignees'"
